location	lat	lon	txt	place
32.075631,34.770033	32.075631	34.770033	לאור מותו של גדול אומני ישראל,מספר עובדות על אריק איינשטיין: 1)היה בצעירותו אלוף ישראל בהדיפת כדור ברזל ובקפיצה לגובה 2)סרטו הידוע "סאלח שבתי" היה הסרט הישראלי הראשון שהיה מועמד לאוסקר 3)הוא הקליט 550 שירים בקריירה-40 אלבומי סולו(לא כולל כל שיתופי הפעולה הרבים שלו) 4)היה בן יחיד 5)הוא נקבר עכשיו בבית הקברות טרומפלדור,ליד גדולי התרבות הלאומית כמו אחד העם, נחום גוטמן, שאול טשרניחובסקי וחיים נחמן ביאליק...בהחלט מתאים 6)יהי זכרו ברוך מקור:ויקיפדיה	בית הקברות טרומפלדור
31.588611111,34.558333333	31.588611111	34.558333333	השפם הארוך בישראל היה של יונה כץ שכיום מתגורר ביד מרדכי, 67 ס"מ מקור-http://merkazherzog.org.il/content/11 הגעתי לאתר הזה: www.kibbutz.org.il/itonut/2003/haver/030212.yona.htmשהוביל אותי לבסוף לויקיפדיה http://he.wikipedia.org/wiki/%D7%A1%D7%A4%D7%A8_%D7%94%D7%A9%D7%99%D7%90%D7%99%D7%9D_%D7%A9%D7%9C_%D7%92%D7%99%D7%A0%D7A1https://www.google.co.il/search…	יד מרדכי
30.925,34.98111111	30.925	34.98111111	כמה עובדות על מצפה רמון (כי הכי טוב בבית) 😀 1. במצפה רמון קיים מצפה הכוכבים הגדול מסוגו בארץ 2. מצפה רמון נמצאת על שפת מכתש רמון שהוא המכתש הגדול מסוגו בעולם 3.במצפה רמון קיימת חוות אלפקות מהגדולות מסוגה בעולם ולסיום קחו תמונה של יעלים מסתובבים בעיר 😉	המכתש הגדול
31.755666666,35.234416666	31.755666666	35.234416666	הטיילת בירושלים המוכרת בשם "טיילת ארמון הנציב" מורכבת בעצם משלוש טיילות שונות. בשמן ובאופיין. טיילת שרובר. (בתוכה קטע הנקרא "טיילת טרוטנר" ) טיילת האז. טיילת גולדמן.מקור: ויקיפדיה + היכרות אישית עם האיזור.	טיילת ארמון הנציב
32.016666666,34.766666666	32.016666666	34.766666666	כיכר הדמעות בחולון הידועה גם בשמות כיכר קוגל וכיכר הלוחמים, היא אחת הכיכרות המסוכנות בישראל ומתרחשות בה לפחות חמש תאונות דרכים, חלקן קשות, בשנה. מי שאחראי לכיכר המיפלצתית והזוועתית הזו הוא ראש העיר המיתולוגי של חולון פנחס אילון. העירייה אגב מסרבת בתוקף לשנות את הכיכר בעלת שלושת הנתיבים המסוכנים בטענה המטומטמת כי הכיכר היא ״סמלה של העיר״.http://www.nrg.co.il/online/54/ART2/231/286.html	חולון
29.55,34.95	29.55	34.95	כמה עובדות בנושא גיאוגרפיה של ארץ ישראל: 1. הכביש הארוך ביותר בישראל הוא כביש 90, המתחיל במעבר טאבה, אי שם ליד אילת, חוצה את הארץ לאורך כל גבולה המזרחי ומסתיים במעבר "הגדר הטובה" (שכבר לא פעיל 14 שנה), אי שם ליד מטולה. אורכו 478.7 ק"מ. 2. הכביש השני באורכו בישראל הוא כביש 40, המתחיל בצומת קטורה בערבה, עובר דרך כל הנגב, השפלה והמרכז ומסתיים בכפר סבא. אורכו 302 ק"מ3. העיר הגדולה ביותר בישראל באוכלוסייתה ובשטחה היא ירושלים עם 815,300 נפש ו-125,000 דונם. 4. העיר השנייה באוכלוסייתה - תל אביב-יפו (414,500 נפש), והעיר השניה בשטחה - באר שבע (117,500 דונם). 5. העיר הצפופה ביותר בישראל היא בני ברק, עם 22,984 נפש לקמ"ר (פי 2 יותר מניו יורק!). שניה לה היא העיר גבעתיים עם 17,161 נפש לקמ"ר. לשם השוואה, הצפיפות בתל אביב עומדת על 8,005 נפש לקמ"ר (מקום 13 בדירוג הצפיפות בישראל).	אילת
32.185783333,34.907683333	32.185783333	34.907683333	כמה עובדות בנושא גיאוגרפיה של ארץ ישראל: 1. הכביש הארוך ביותר בישראל הוא כביש 90, המתחיל במעבר טאבה, אי שם ליד אילת, חוצה את הארץ לאורך כל גבולה המזרחי ומסתיים במעבר "הגדר הטובה" (שכבר לא פעיל 14 שנה), אי שם ליד מטולה. אורכו 478.7 ק"מ. 2. הכביש השני באורכו בישראל הוא כביש 40, המתחיל בצומת קטורה בערבה, עובר דרך כל הנגב, השפלה והמרכז ומסתיים בכפר סבא. אורכו 302 ק"מ3. העיר הגדולה ביותר בישראל באוכלוסייתה ובשטחה היא ירושלים עם 815,300 נפש ו-125,000 דונם. 4. העיר השנייה באוכלוסייתה - תל אביב-יפו (414,500 נפש), והעיר השניה בשטחה - באר שבע (117,500 דונם). 5. העיר הצפופה ביותר בישראל היא בני ברק, עם 22,984 נפש לקמ"ר (פי 2 יותר מניו יורק!). שניה לה היא העיר גבעתיים עם 17,161 נפש לקמ"ר. לשם השוואה, הצפיפות בתל אביב עומדת על 8,005 נפש לקמ"ר (מקום 13 בדירוג הצפיפות בישראל).	כפר סבא
31.258888888,34.797777777	31.258888888	34.797777777	כמה עובדות בנושא גיאוגרפיה של ארץ ישראל: 1. הכביש הארוך ביותר בישראל הוא כביש 90, המתחיל במעבר טאבה, אי שם ליד אילת, חוצה את הארץ לאורך כל גבולה המזרחי ומסתיים במעבר "הגדר הטובה" (שכבר לא פעיל 14 שנה), אי שם ליד מטולה. אורכו 478.7 ק"מ. 2. הכביש השני באורכו בישראל הוא כביש 40, המתחיל בצומת קטורה בערבה, עובר דרך כל הנגב, השפלה והמרכז ומסתיים בכפר סבא. אורכו 302 ק"מ3. העיר הגדולה ביותר בישראל באוכלוסייתה ובשטחה היא ירושלים עם 815,300 נפש ו-125,000 דונם. 4. העיר השנייה באוכלוסייתה - תל אביב-יפו (414,500 נפש), והעיר השניה בשטחה - באר שבע (117,500 דונם). 5. העיר הצפופה ביותר בישראל היא בני ברק, עם 22,984 נפש לקמ"ר (פי 2 יותר מניו יורק!). שניה לה היא העיר גבעתיים עם 17,161 נפש לקמ"ר. לשם השוואה, הצפיפות בתל אביב עומדת על 8,005 נפש לקמ"ר (מקום 13 בדירוג הצפיפות בישראל).	באר שבע
32.489347222,35.107875	32.489347222	35.107875	השטויות שמאכילים אתכם בסדרות רפואיות - חלק א׳: החולה מתמוטט, קו ישר על מסך המוניטור, והרופאים מתנפלים עליו עם שוק חשמלי (דפיברילטור) שעושה ״בום״ מחריש אוזניים. האמת: מכשיר הדפיברילטור משתק את הפעילות החשמלית של הלב, במטרה שהקצב התקין (קצב סינוס) יתעורר לחיים ויחזור לשלוט בפעימות הלב. כשיש דום לב, לא נותנים שוק חשמלי, זה רק ימית את החולה. הטיפול הוא כמובן - עיסויי לב, הנשמה ותרופות החייאה כמו אדרנלין. אהה כן: השוק החשמלי כלל לא עושה רעש ולא בום. (מקור: בי״ס לרפואה. וכל פרוטוקול החייאה שתרצו)	חריש
32.1952,34.8068	32.1952	34.8068	להתפלל לקדושים הנוצרים זה לא דבר פשוט - יש להם מומחיות. לקראת סוף ימי הביניים הקדושים הפכו לפופולאריים מאוד, מתוך מחשבה שאמנם היו בני תמותה רגילים אך כעת הם יושבים בחצר השמיים ולכן הם נגישים הרבה יותר לאלוהים. אבל זה לא מספיק, יש לפנות לקדוש הנכון: מתיאוס היה פקיד מס, ולכן הוא הפך להיות הקדוש של רואי החשבון. אפולוניה מתה על קידוש האמוהנ הנוצרית מאה ה־3 ובדרך הייסורים שלה עקרו את שיניה, ולכן, מהיותה מומחית לכאבי שיניים, היא הקדושה שכל מי ששיניו כואבות מפנה את תפילותיה אליה. לכל קדוש יש יום משלו בשנה, כמו הקדוש סילבסטר, שחוגג את יומו ב־31.12.	אפולוניה
32.054444444,34.751666666	32.054444444	34.751666666	השם "גוש דן" הוא שם מטעה. הערים יהוד, יפו ובני ברק מוזכרות בתנ"ך כחלק מנחלת אפרים. ובכן, למה בכל זאת נקרא האזור "גוש דן"? פרופ' יואל אליצור מסביר שככל הנראה לשבט דן לא הייתה נחלה. הוא ישב מפוזר בערים מיהודה (צרעה, אשתאול, תמנה ועקרון) ומאפרים (שעלבים, יהוד, בני ברק).מקור: "מקום בפרשה", מאת פרופסור יואל אליצור, עמוד 292	יפו
32.033333333,34.883333333	32.033333333	34.883333333	השם "גוש דן" הוא שם מטעה. הערים יהוד, יפו ובני ברק מוזכרות בתנ"ך כחלק מנחלת אפרים. ובכן, למה בכל זאת נקרא האזור "גוש דן"? פרופ' יואל אליצור מסביר שככל הנראה לשבט דן לא הייתה נחלה. הוא ישב מפוזר בערים מיהודה (צרעה, אשתאול, תמנה ועקרון) ומאפרים (שעלבים, יהוד, בני ברק).מקור: "מקום בפרשה", מאת פרופסור יואל אליצור, עמוד 292	יהוד
31.781097222,35.0101	31.781097222	35.0101	השם "גוש דן" הוא שם מטעה. הערים יהוד, יפו ובני ברק מוזכרות בתנ"ך כחלק מנחלת אפרים. ובכן, למה בכל זאת נקרא האזור "גוש דן"? פרופ' יואל אליצור מסביר שככל הנראה לשבט דן לא הייתה נחלה. הוא ישב מפוזר בערים מיהודה (צרעה, אשתאול, תמנה ועקרון) ומאפרים (שעלבים, יהוד, בני ברק).מקור: "מקום בפרשה", מאת פרופסור יואל אליצור, עמוד 292	אשתאול
32.997888888,35.448938888	32.997888888	35.448938888	אני לא יודע באם הפוסט מתאים ל"עובדות לא חשובות" או "מה הקטע להדליק מדורה ולהיחנק בעשן?".... אבל: בל"ג בעומר נוהגים להדליק מדורות אש. הסיבה למנהג זה אינה לגמרי ברורה אך מייחסים שני הסברים למנהג הדלקת המדורות:1. הסבר המבוסס על הקשר בין מרד בר כוכבא ובין ל"ג בעומר: המורדים הדליקו משואות אש על ראשי ההרים כדי להעביר את ההודעה על פרוץ המרד והמדורות שמדליקים היום בל"ג בעומר הן זכר לאותן משואות.2. על-פי המסופר בספר הזוהר, ביום מותו של רבי שמעון בר יוחאי הוא קרא לחבריו וביקש לגלות להם סודות מתורות הסוד, אך ביתו עלה באש, ולזכרה של האש נהגו להדליק מדורות ביום פטירתו – יום ל"ג בעומר.	בר יוחאי
32.8,34.983333333	32.8	34.983333333	בחיפה נהוג לאחל אחד לשני חג שמח בין התאריכים ה25-31/12, ללא קשר לדת שלך, בגלל הריכוז הגבוה של נוצרים ורוסים.	חיפה
32.083333333,34.883333333	32.083333333	34.883333333	שמות ישובים בארץ, שמורכבים מראשי תיבות באופנים שונים:ארגמן............אריק רגב, גד מנלה - שני לוחמים שנפלו בבקעה. ייט"ב.............יד יצחק טבנקין. דורות.............ע"ש דוב רבקה ותרצה - בני משפחת הוז שנהרגו ....................בתאונת דרכים. דוב"ב............דוד בלוך בלומנפלד - מראשי תנועת העבודה בארץ ....................ישראל, שהיה ראש עיריית תל אביב. כפר אז"ר.......אלכסנדר זיסקינד רבינוביץ - היה סופר, עורך, ....................ביוגרף ומתרגם עברי. בני עי"ש........עקיבא יוסף שלזינגר - היה מבוני פתח תקווה. גבעת ח"ן.......חיים נחמן ביאליק. יד רמב"ם.......רבי משה בן מימון. כפר מל"ל......משה לייב לילינבלום - היה פעיל ציוני ואחד מאנשי ....................."חיבת ציון". כפר הרא"ה...הרב אברהם הכוהן קוק - הרב הראשי הראשון ....................לישראל. כפר הרי"ף.....ר' יצחק אלפסי - מגדולי הפוסקים, שחי בעיר פס ....................שבמרוקו בימי הביניים. בני רא"ם.......הרב אברהם מרדכי אלתר - שימש כאדמו"ר של ....................חסידות גור וכאחד ממנהיגי היהדות החרדית כולה. כרם מהר"ל...מורנו הגדול ר' ליווא - היה הרב הראשי של פראג ....................במאה ה-16. מצפה אבי"ב.אברהם יעקב ברוור -היה גיאוגרף והיסטוריון. עין הנצי"ב....נפתלי צבי יהודה ברלין - ציוני דתי שהטיף לעליה ...................ולהתיישבות בארץ ישראל. נוה אטי"ב.....אברהם המאירי, טוביה שרקינגר, יאיר אלגרנטי ובנימין ...................חדד - לוחמי סיירת אגוז שנפלו בקרבת מקום. אבני איתן.....אבנר גוברין, בני חנני, יהודה אריה (קציני נחל מוצנח ...................שנהרגו במלחמת יום כיפור ברמת הגולן) אילנה בולה, ...................יונה סובר, תמר נחמה דרור (נהרגו ממוקש בגולן), ...................ונחמה עשירה. בית חג"י......חנן קרוטהמר, גרשון קליין ויעקב צימרמן - תלמידי ...................ישיבת ההסדר שנרצחו בקרבת מקום. יעף.............יישוב ששמו מאגד בתוכו שלושה יישובים הנמצאים ..................בסמוך אליו: כפר יעבץ, עזריאל, פורת. עלי זהב.......עליזה בגין (תודה לניר פרל). ברקאי.........בני עבודה רומניה קיבוץ ארץ ישראל. קליה...........קם לתחיה ים המוות. אפעל..........ע"ש אגודת אידישע נציונאלר ארביטער פארבאנד, ..................בתרגום לעברית. ניל"י...........נצח ישראל לא ישקר. ביל"ו..........בית יעקב לכו ונלכה. חב"ד..........חכמה, בינה, דעת. נתיב הל"ה..על שם הל"ה שיצאו לעזרת גוש עציון. גבעת כ"ח...על שם 28 בחורים מחטיבת אלכסנדרוני שנהרגו בסמוך .................במלחמת העצמאות. ניר ח"ן.......לזכר 58 הנספים במטוס אל על שהופל מעל שמי ................בולגריה. בסמ"ה......חיבור של שלושה יישובים: ברטעה, עין אסהלה .................ומועאוויה. זרעית.........זכר רוזנוואלד ישאר תמיד (תודה לאלי בר יהלום). נעמ"ה........נוער עברי מיישב הבקעה (תודה ללולי מרז'רו)http://www.lif.ac.il/maim/shemot_michael_485.pdf.	פתח תקווה
32.50215,35.103888888	32.50215	35.103888888	שמות ישובים בארץ, שמורכבים מראשי תיבות באופנים שונים:ארגמן............אריק רגב, גד מנלה - שני לוחמים שנפלו בבקעה. ייט"ב.............יד יצחק טבנקין. דורות.............ע"ש דוב רבקה ותרצה - בני משפחת הוז שנהרגו ....................בתאונת דרכים. דוב"ב............דוד בלוך בלומנפלד - מראשי תנועת העבודה בארץ ....................ישראל, שהיה ראש עיריית תל אביב. כפר אז"ר.......אלכסנדר זיסקינד רבינוביץ - היה סופר, עורך, ....................ביוגרף ומתרגם עברי. בני עי"ש........עקיבא יוסף שלזינגר - היה מבוני פתח תקווה. גבעת ח"ן.......חיים נחמן ביאליק. יד רמב"ם.......רבי משה בן מימון. כפר מל"ל......משה לייב לילינבלום - היה פעיל ציוני ואחד מאנשי ....................."חיבת ציון". כפר הרא"ה...הרב אברהם הכוהן קוק - הרב הראשי הראשון ....................לישראל. כפר הרי"ף.....ר' יצחק אלפסי - מגדולי הפוסקים, שחי בעיר פס ....................שבמרוקו בימי הביניים. בני רא"ם.......הרב אברהם מרדכי אלתר - שימש כאדמו"ר של ....................חסידות גור וכאחד ממנהיגי היהדות החרדית כולה. כרם מהר"ל...מורנו הגדול ר' ליווא - היה הרב הראשי של פראג ....................במאה ה-16. מצפה אבי"ב.אברהם יעקב ברוור -היה גיאוגרף והיסטוריון. עין הנצי"ב....נפתלי צבי יהודה ברלין - ציוני דתי שהטיף לעליה ...................ולהתיישבות בארץ ישראל. נוה אטי"ב.....אברהם המאירי, טוביה שרקינגר, יאיר אלגרנטי ובנימין ...................חדד - לוחמי סיירת אגוז שנפלו בקרבת מקום. אבני איתן.....אבנר גוברין, בני חנני, יהודה אריה (קציני נחל מוצנח ...................שנהרגו במלחמת יום כיפור ברמת הגולן) אילנה בולה, ...................יונה סובר, תמר נחמה דרור (נהרגו ממוקש בגולן), ...................ונחמה עשירה. בית חג"י......חנן קרוטהמר, גרשון קליין ויעקב צימרמן - תלמידי ...................ישיבת ההסדר שנרצחו בקרבת מקום. יעף.............יישוב ששמו מאגד בתוכו שלושה יישובים הנמצאים ..................בסמוך אליו: כפר יעבץ, עזריאל, פורת. עלי זהב.......עליזה בגין (תודה לניר פרל). ברקאי.........בני עבודה רומניה קיבוץ ארץ ישראל. קליה...........קם לתחיה ים המוות. אפעל..........ע"ש אגודת אידישע נציונאלר ארביטער פארבאנד, ..................בתרגום לעברית. ניל"י...........נצח ישראל לא ישקר. ביל"ו..........בית יעקב לכו ונלכה. חב"ד..........חכמה, בינה, דעת. נתיב הל"ה..על שם הל"ה שיצאו לעזרת גוש עציון. גבעת כ"ח...על שם 28 בחורים מחטיבת אלכסנדרוני שנהרגו בסמוך .................במלחמת העצמאות. ניר ח"ן.......לזכר 58 הנספים במטוס אל על שהופל מעל שמי ................בולגריה. בסמ"ה......חיבור של שלושה יישובים: ברטעה, עין אסהלה .................ומועאוויה. זרעית.........זכר רוזנוואלד ישאר תמיד (תודה לאלי בר יהלום). נעמ"ה........נוער עברי מיישב הבקעה (תודה ללולי מרז'רו)http://www.lif.ac.il/maim/shemot_michael_485.pdf.	בסמ"ה
