place	location	lat	lon	answers	categories	question	score	story	right_answer
אילת	29.574,34.95	29.574000000	34.95	["כביש 6"," כביש 1"," כביש 16"]		מהו הכביש הארוך ביותר בישראל?	2	הכביש הארוך ביותר בישראל הוא כביש 90, המתחיל במעבר טאבה, אי שם ליד אילת, חוצה את הארץ לאורך כל גבולה המזרחי ומסתיים במעבר "הגדר הטובה" (שכבר לא פעיל 14 שנה), אי שם ליד מטולה. אורכו 478.7 ק"מ.	כביש 90
אילת	29.575,34.95	29.575000000	34.95	["אריק איינשטיין"," ישראל גוריון"," חווה אלברשטיין "]		מי היה הכוכב הראשי במופע שהתרחש באילת בשנת 1972?	4	בפורים 1972 הופיעו על בימה אחת אריק איינשטין, ישראל גוריון, ר' פופיק ארנון, סמי וסוסו, גורג' איברהים בתפקיד בלוטו הרשע של פופאיי, ועוד, אבל כוכב המופע היה קוף שימפנזה שרקד, עישן ועשה סטריפטיז. עמוס צרפתי, המכונה עמוס הודיני, עדיין פעיל וממשיך להופיע כקוסם באילת	קוף שימפנזה מרקד
פיגוע ההתאבדות באילת	29.55972222,34.94527778	29.559722220	34.94527778		wiki records			פיגוע ההתאבדות באילת - פיגוע ההתאבדות באילת היה פיגוע טרור שביצע מחבל מתאבד בעיר אילת ב-29 בינואר 2007. הפיגוע התרחש בתוך מאפייה בעיר ונהרגו בו שלושה אזרחים ישראלים. היה זה פיגוע ההתאבדות היחיד שבוצע בישראל באותה שנה.	פיגוע ההתאבדות באילת
נמל התעופה רמון	29.7272,34.9983	29.7272	34.9983	["טל רמון","חיים רמון","רונה רמון","אילן רמון"]	["אישים"]	על שם מי קרוי נמל התעופה רמון	4	נמל התעופה רמון (שדה תעופה בנפת באר שבע)  קרוי על שם אילן רמון ('טייס חלל', 'איש צבא', 'טייס קרב', 'טייס') 	אילן רמון
חי-בר יטבתה	29.8714,35.0503	29.871400000	35.0503		wiki records			חי-בר יטבתה - שְׁמוּרַת חַי-בָּר יָטְבָתָה היא שמורת טבע מסוג חי בר בערבה ליד יטבתה ובה נמצאים בעלי חיים מדבריים למטרות שימור, רבייה, והשבה לטבע. מן החי בר הושבו לטבע בהצלחה ראמים לבנים, פראים, וצבי יבשה מדבריים. המרכז משמש גם כספארי ויש בו זנים מדבריים שלא קיימים בישראל למטרת שימור עולמי כמו ערודים וראמי סהרה. כמו כן, חי בר זה הוא המרכז הזואולוגי הגדול ביותר בישראל מבחינת שטח.	חי-בר יטבתה
כביש 12	29.91083333,34.87583333	29.910833330	34.87583333		wiki records			מתקפת הטרור בדרום ישראל (2011) - ב־18 באוגוסט 2011 אירעה סדרת פיגועי טרור על כביש מספר 12, בק"מ ה־26 מהעיר אילת ובסמוך לגבול ישראל-מצרים. מחבלים מצרים פתחו באש על אוטובוס "אגד" (קו 392) בכביש 12, ובהמשך פתחו באש (לרבות שיגור טיל נ"ט) על אוטובוס נוסף ומכוניות של אזרחים ישראלים ובכך רצחו ששה אזרחים ישראלים, ופצעו 40.	מתקפת הטרור בדרום ישראל (2011)
נווה חריף	30.0365,35.038697222	30.0365	35.038697222	["נאות סמדר","הקריה","נחל חרמון","נווה חריף"]	["ערים ויישובים","שמות נוספים"]	איזה מקום נודע גם בשם - אבידע	2	נווה חריף (נְוֵה חָרִיף) הוא קיבוץ הממוקם בדרום הנגב, השייך למועצה אזורית  חבל אילות. הקיבוץ הוקם בשנת 1987 על ידי עירוניים שרצו להקים קיבוץ תעשייתי  שישלב בין האידאולוגיה הקיבוצית לבין חיים יומיומיים מודרניים. שמו של הקיבוץ  בשלבי התכנון היה "אבידע" על שם הבן של אברהם וקטורה (ספר בראשית כ"ה 4) אך  לאחר מכן שונה השם ל"נווה חריף", על שמו של חבר הכנסת משה (מוסה) חריף, שנהרג  בתאונת דרכים בשנת 1982. לאחר מספר שנים בהן כשלו היוזמות התעשייתיות הוחלט  לעבור לחקלאות והוקמו במקום רפת, ולולי ביצים ופרגיות. בנוסף יש לקיבוץ שטחים  של מטעי תמרים דירות אירוח ומיני פארק מים (נווה גל) אותו הקים איתי אלון בשנת  2011. במשך שנים רבות נמנע הקיבוץ מלגדול. בשנת 2012 היו בקיבוץ 61 חברים,  מספר שכלל גם את בני היישוב מעל גיל 18 שנקלטו בקיבוץ. בעקבות המספר הדל של  התושבים הוכלל הקיבוץ ברשימת היישובים בתת-אכלוס של משרד החקלאות.	נווה חריף
נאות סמדר	30.0483,35.025397222	30.0483	35.025397222	["אבו תור","גוש דן","גבעת שמש","נאות סמדר"]	["ערים ויישובים","שמות נוספים"]	איזה מקום נודע גם בשם - שיזפון	3	נְאוֹת סְמָדַר הוא קיבוץ בדרום הנגב סמוך לצומת שיזפון, על כביש 40, השייך  למועצה אזורית חבל אילות. הקיבוץ חבר בתק"ם. נאות סמדר הוקם במקום בו שכן בעבר  קיבוץ שיזפון. הקיבוץ נקרא על שמה של סמדר ספרא, מגרעין המייסדים של המקום.  סמדר נהרגה בתאונת דרכים באוגוסט 1981. הקיבוץ הוקם בשנת 1989 על ידי קבוצה של  חברים, שהתקבצה במשך כמה שנים בירושלים סביב שאלות מהותיות הקשורות במצבו של  האדם, והסיכוי לחולל בו שינוי. כיום זהו נוה מדבר אורגני המשתרע על שטח של  כ-800 דונם. התייחסות רחבה לתחום האקולוגי כוללת חקלאות אורגנית, בנייה  מדברית, מיחזור והשבת מים, ואורח חיים שמתייחס לתחום היחסים בין אדם לחברו.	נאות סמדר
פארן	30.363097222,35.153597222	30.363097222	35.153597222	["רן יבנאי","מרב מיכאלי","ארז טל","הדר מרקס"]	["אישים"]	מי מהבאים נולד/ה בפארן?	3	הדר מרקס נולדה בפארן בשנת 1985	הדר מרקס
רפידים	30.40722222,33.15416667	30.40722222	33.15416667		songs			שיר בסביבתך (רפידים) ! ויסעו ויחנו/להקת פיקוד דרום, מילים: תלמה אליגון רוז, לחן: קובי אושרת ------ בא השליו, שבשרו טהור טהור | הם הגיעו  לרפידים |   | אך אין מים ליהודים | ומשה שלנו אז הכה'	ויסעו ויחנו
הערבה	30.416944444,35.151388888	30.416944444	35.151388888		songs			שיר בסביבתך (הערבה) ! בית הערבה/אריק סיני, מילים: חיים חפר ועמוס קינן, לחן: שמוליק קראוס ------ זוכר את בית  הערבה,  | פיסת מדבר צרובה בארץ חרבה, | ירדן זורם'	בית הערבה
הנגב	30.5,34.916666666	30.5	34.916666666	["יצחק רבין","סיף א-דין א-זועבי","משה דיין","חמאד אבו רביעה"]	["אישים"]	מי מהבאים נולד/ה בהנגב?	2	חמאד אבו רביעה ('פוליטיקאי') נולד בהנגב בשנת 1929	חמאד אבו רביעה
הנגב	30.501,34.916666666	30.501000000	34.916666666	["2010"," 1972"," 1948"]		באיזו שנה ירד גשם מהצפון עד הנגב, מהחרמון עד דימונה?	3	בפברואר 1950, הייתה זו הפעם הראשונה והיחידה בה שלג ירד בתל אביב. בלילה שבין ה-5 וה-6 לפברואר, 1950, שלג כבד כיסה חלקים נרחבים בארץ. מהצפון ועד הנגב, מהחרמון ועד דימונה. השלג ירד בתל אביב, ברחובות, בראשון לציון, בפתח תקווה, ברמלה-לוד, בהרי הנגב ואף בכנרת, רבים מתושבי הארץ והעולים החדשים, היו מופתעים לראות שלג במקום מגורם, שכן לעולם לא היה חורף כל-כך קיצוני במרכז ישראל. אמנם רבים נהנו מהמחזה המרהיב; תושבים יצאו לרחובות למלחמות שלג, בנו אנשי שלג עם אף עשוי גזר, צילמו, שיחקו ונהנו. אך בו בזמן, גל הקור שפקד את מדינת ישראל, הותיר אחריו נזקים רבים: השלג פגע קשות במשק ובחקלאות המקומית, וגרם לנזק כלכלי קשה מאד באותם החודשים. קווים טלפונים נותקו ברחבי הארץ, דרכים נסגרו והשלג הרס מבנים ישנים אשר לא עמדו בעומס של השלג שנערם מעליהם. כמו כן, יישובים רבים בצפון הארץ "נותקו" ונותרו מבודדים ובלתי נגישים והחלו להרגיש את המחסון במזון בעקבות חסימת הדרכים. עם כל זה, הנפגעים העיקריים של הקור הקיצוני היו דווקא העולים, אשר גרו במעבורות ישנות, ללא ציוד וללא חימום, ונפגעו קשות מהשלג ומהקור העז.	1950
מצפה רמון	30.612777777,34.801666666	30.612777777	34.80166667		מדע וטבע ynet		2	צלמי סוכנויות הידיעות תיעדו הלילה את מטר המטאורים הפרסאידים, ששיאו היה הלילה. צפו בתמונות הנבחרות של "הכוכבים הנופלים"	
מצפה רמון	30.613777777,34.801666666	30.613777777	34.801666666		songs			שיר בסביבתך (מצפה רמון) ! מצפה רמון/יהודה עדר, מילים ולחן: יהודה עדר, מילים ולחן: יהודה עדר ------ והשקט והשקר. |  | חש כאב עמוק | ולא רוצה לבכות |   | במצפה רמון |   | למדתי המון | מסתכל על העולם | רואה מה'	מצפה רמון
ספיר	30.6139,35.1843	30.6139	35.1843	["יוסף ספיר","כרמית ספיר ויץ","אליהו ספיר","פנחס ספיר"]	["אישים"]	על שם מי קרוי היישוב ספיר	2	ספיר (יישוב במועצה אזורית הערבה התיכונה)  קרוי על שם פנחס ספיר	פנחס ספיר
בסיס רמון	30.774722222,34.667777777	30.774722222	34.667777777	["בסיס חצור","בסיס רמת דוד","בני עצמון","בסיס רמון"]	["ערים ויישובים","שמות נוספים"]	איזה מקום נודע גם בשם - מחנה טלי	4	בסיס חיל-האוויר רָמוֹן (בשמו הרשמי: כנף 25) הוא בסיס טיסה של חיל האוויר  הישראלי אשר שוכן ברמת מטרד, על-יד מצפה רמון.	בסיס רמון
עזוז	30.791763888,34.472522222	30.791763888	34.472522222	["אילת","חולון","מצדה","עזוז"]	["ערים ויישובים","שמות נוספים"]	איזה מקום נודע גם בשם - בארותיים	3	עֱזוּז הוא יישוב קהילתי בגבול הנגב וסיני ממוקם כ-12 קילומטרים מדרום  דרום-מזרח לניצנה וכ-3 קילומטר ממזרח לגבול עם מצרים. היישוב הנוכחי הוקם בשנת  1985, במקום בתי אומנים שונים ומפעלי תיירות, נכון לשנת 2015 יש ביישוב 16  משפחות. שייך למועצה אזורית רמת נגב ונמצא בגובה ממוצע של כ-325 מטר מעל פני  הים. נקרא על שם נחל עזוז הזורם מצפון מזרחית ליישוב.	עזוז
מצד חצבה	30.8087,35.2459	30.8087	35.2459	["מצדה","מצד עתרת","מכבי חיפה","מצד חצבה"]	["ערים ויישובים","שמות נוספים"]	איזה מקום נודע גם בשם - תמר המקראית	3	מצד חצבה היא תל ארכאולוגי מתקופת הברזל ועד לתקופה הערבית הקדומה. האתר נמצא  בסמוך לצומת עין חצבה שבערבה. לימים הוקם במקום היישוב עיר אובות. שמו העברי  של המקום הוא עין חצבה המתבסס מורפולוגית על שמו הערבי של המעיין הקדום עין  חוסוב (בערבית שפע). הזיהוי המודרני של המקום עם תמר המקראית, שנזכרת במקרא  כאחת מן הערים שנבנו על ידי שלמה המלך, נעשה כבר בשנות ה-50. זיהוי זה מקובל  כיום במחקר והוא מבטל את הזיהוי השגוי של מצד תמר הנמצא במעלה סיבובי סדום.  מעלה עקרבים הסמוך לתמר המקראית מוזכר במקרא כחלק מהגבול הדרומי של ארץ ישראל  או של ממלכת יהודה או של נחלת שבט יהודה.	מצד חצבה
שדה בוקר	30.868889,34.7925	30.868889000	34.7925		wiki records			לאשה - בשנותיו הראשונות הציגו עמודי השער של השבועון נשים עובדות: מורות, לוחמות, אחיות וחקלאיות, וגם את פולה בן-גוריון, אשת ראש הממשלה, ביומה הראשון בשדה בוקר.	לאשה
תל ניצנה	30.875555555,34.434166666	30.875555555	34.434166666	["תל שרע","נחל קנה","תל חנתון","תל ניצנה"]	["ערים ויישובים","שמות נוספים"]	איזה מקום נודע גם בשם - עוג'ה אל-חפיר	3	ניצנה הייתה יישוב נבטי בנגב המערבי על דרך הבשמים בסמוך לכתף ניצנה ובקרבת  ניצנה של היום. כיום האתר מוכרז כגן לאומי.	תל ניצנה
ניצני סיני	30.903652777,34.396519444	30.903652777	34.396519444	["נאות סמדר","מכבי חיפה","נחל קנה","ניצני סיני"]	["ערים ויישובים","שמות נוספים"]	איזה מקום נודע גם בשם - קדש ברנע	2	נִצָּנֵי סינַי או קָדֵשׁ בַּרְנֵעַ הוא מושב עובדים באזור הדרום, סמוך לגבול  מצרים, ליד ניצנה ומעבר הגבול ניצנה השייך למועצה אזורית רמת נגב. עד לנסיגת  ישראל מחצי האי סיני בעקבות הסכם השלום עם מצרים, נקרא היישוב קדש ברנע על שם  היישוב המקראי קדש ברנע, שהתקיים במקום המקורי בו הוקם היישוב. לאחר פינוי  סיני הועתק היישוב לאזור ניצנה, אשר במשך שמונה חודשים גרו המתיישבים במושב  אשלים. בשנת 1986 הועתק פעם נוספת, הפעם למקומו הנוכחי בו הוא נמצא כיום. השם  "ניצני סיני" ניתן למקום בשל קרבתו לחצי האי סיני, אך התושבים קוראים למושב  קדש ברנע. היישוב המקורי הוקם בשנת 1977 ונכון לשנת 2012 הוא מונה כ־50 משפחות.	ניצני סיני
נחל הרועה	30.912903,34.849011	30.912903	34.849011	["נחל תרצה","נחל חרמון","נחל אורן","נחל הרועה"]	["ערים ויישובים","שמות נוספים"]	איזה מקום נודע גם בשם - ברברה פרופר	3	נַחַל הָרוֹעָָה הוא נחל בהר הנגב הצפוני, מיובלי נחל הבשור. לאורכו שרידים  מרשימים של חקלאות נבטית קדומה ומפעל מים שבאמצעותו חוצה הנחל את קמר חלוקים.  אחד מיובליו הוא נחל נוקד. שמו הקדום של הנחל היה "ואדי חליקום", על שם  החלוקים ששמם השתמר בקמר חלוקים. השם נחל הרועה, יחד עם חניון הרועה שלידו,  ניתן לו לזכרה של ברברה פרופר (1930–1952), שנרצחה במקום על ידי בדואים  מהסביבה. פרופר נולדה בגרמניה, לאם יהודיה. עלתה ארצה וגדלה בירושלים, כבת  מאומצת ליוהנה וד"ר עמנואל פרופר. למדה באוניברסיטת נשאטל, שווייץ, פילוסופיה,  תאולוגיה ושפות. חזרה לארץ והתגייסה לצה"ל על אף שהייתה בת יחידה למשפחתה  ושירתה שנתיים כסמלת בחיל המודיעין. ב-15 במאי 1952 הייתה אחת מכתריסר מייסדי  קיבוץ שדה בוקר, בהם חגי אבריאל, דניאל הלל ואחרים. שימשה כרועת הצאן ואחראית  על ענף הצאן כולו של הקיבוץ ונרצחה בספטמבר 1952 על ידי בדווים מהסביבה.  רוצחיה טענו כי חשבו שעדר הכבשים אותו רעתה פרופר נלקח מהשבט הבדואי על ידי  צה"ל.. עוד טענו כי בשל לבושה של פרופר לא שמו לב שמדובר בבחורה ואם היו  יודעים "לא היו נוגעים בה".. שני רוצחיה נתפשו, אחד מהם נידון ב-1955 למאסר  עולם ואילו השני מת בכלא בטרם החל המשפט. בעקבות רציחתה נכתבו שני שירים  לזכרה- "הנערה משדה בוקר" (מילים: נתן אלתרמן), ו"אליה על ברברה משדה בוקר"  (מילים:אנדה עמיר-פינקרפלד). הקרן הקיימת לישראל הקימה על שמה את "חניון  הרועָה" מול הכניסה לקיבוץ שדה בוקר.	נחל הרועה
המכתש הגדול	30.925,34.98111111	30.925	34.98111111	["הגוש הגדול","רמת השרון","מקדש הבאב","המכתש הגדול"]	["ערים ויישובים","שמות נוספים"]	איזה מקום נודע גם בשם - מעלה אברהם	4	מכתש ירוחם (לשעבר המכתש הגדול או בשמו המדויק: מכתש חֲתִירָה) הוא מכתש  אירוזי הנמצא בהר הנגב והוא אחד ממספר מכתשים דומים באזור שנוצרו באורח דומה.  צורתו אליפטית, והוא השני בגודלו במכתשי הנגב. ממוקם בקמר חתירה ומכאן שמו  הנוסף. אורכו של המכתש 14 ק"מ ורוחבו 6 ק"מ. עומקו המרבי הוא 410 מטרים. הנחל  המנקז אותו הוא נחל חתירה. גבולות המכתש הם רכס הרי חתירה במערב ורכס הר  כרבולת במזרח ובדרום בו עובר שביל ישראל. מצפון מערב למכתש הגדול נמצא הר  אבנון, המתנשא לגובה של 656 מטרים, ממנו קיימת תצפית יפה על המכתש. במרכז  המכתש מתנשאים הרי מטמור, המגיעים לשיא גובה של 494 מטרים. במכתש הגדול אזור  חולות צבעוניים, שם נחשפו שכבות של אבן חול בצבעים שונים, המתפוררת במגע  ומגלות מגוון צבעים רב. אזור החולות הצבעוניים מהווה אטרקציה תיירותית. בנוסף,  נמצא במכתש מחשוף עשיר במאובנים, ביניהם שרידי אלמוגים, אמוניטים, חבצלות ים  וקיפודי ים. מחשוף זה מהווה אתר טבע מוגן.	המכתש הגדול
המכתש הגדול	30.926,34.98111111	30.926000000	34.98111111	["מצפה כוכבים"," חוות כלבים וגודל ייחודי"," חוות אלפקות"," מחשבים וגיטרות"," גודל ייחודי"," חוות ארנבים וגיטרות"]		מצפה ומכתש רמון מחזיקים בתארים שונים, איזה מהנושאים הבאים קשורים לתארים אלו קשר ישיר?	4	במצפה רמון קיים מצפה הכוכבים הגדול מסוגו בארץ, מצפה רמון נמצא על שפת מכתש רמון שהוא המכתש הגדול מסוגו בעולם ובמצפה רמון קיימת חוות אלפקות מהגדולות מסוגה בעולם	מצפה כוכבים, גודל ייחודי וחוות אלפקות
ירוחם	30.988888888,34.933888888	30.988888888	34.933888888	["פיטר רוט","שלומי ברכה","נדב בכר","אבי סינגולדה"]	["אישים"]	מי מהבאים נולד/ה בירוחם?	2	אבי סינגולדה ('גיטריסט') נולד בירוחם בשנת 1959	אבי סינגולדה
ירוחם	30.989888888,34.933888888	30.989888888	34.933888888	["יובל אלבשן","יוסי יונה","יצחק ימיני","מיכאל ביטון"]	["אישים"]	מי מהבאים נולד/ה בירוחם?	2	מיכאל ביטון ('פעיל חברתי') נולד בירוחם בשנת 1970	מיכאל ביטון
ירוחם	30.990888888,34.933888888	30.990888888	34.933888888	["נטלי עטיה","שיר אלמליח","אורטל בן דיין","עדי נוימן"]	["אישים"]	מי מהבאים נולד/ה בירוחם?	2	עדי נוימן ('מנחה טלוויזיה', 'דוגמן') נולדה בירוחם בשנת 1982	עדי נוימן
ירוחם	30.991888888,34.933888888	30.991888888	34.933888888		 בידור			עמרם מצנע - אני מאמין שבלכתי לירוחם אתרום מניסיוני לשיקום המקום, ויחד עם זאת אשמש כדוגמה וחיזוק לרוח ההתנדבות במדינת ישראל. אני תקווה שעשייה זו תוכיח שגנרלים במילואים, חברי כנסת וראשי ערים לשעבר יכולים וצריכים להמשיך ולתרום לא רק בממשלה ובמסדרונות השלטון - נאום הפרישה מהכנסת (2005)	עמרם מצנע
ירוחם	30.992888888,34.933888888	30.992888888	34.933888888		songs			שיר בסביבתך (ירוחם) ! בצהרי יום/דיויד ברוזה, מילים: מאיר אריאל, לחן: דיויד ברוזה ------  לירוחם  לשתות פחית של צהריים | במרכז המסחרי המאובק | התענוג'	בצהרי יום
